Posting No.,Document No.,Posting Date,Customer No.,Customer Name,Ship-to Name,Division Code,No.,Description,Packing Size,Qty. per Unit of Measure,UOM,Quantity,Quantity (Base)
FSD2INV-220501194,FSD2SO-063300,5/24/2022,C-2204044,LITTLE FARMS PTE LTD - RIVER VALLEY,LITTLE FARMS CAFE - RIVER VALLEY,FSD2,DZDANCN500GM,YOWE DRIED ANCHOVIES ikan bilis- whole with head (4-5cm),20 x 500GM,1,PKT,2,2
FSD2INV-220501190,FSD2SO-063303,5/24/2022,C-2102094,XUHUA ENTERPRISE,XUHUA ENTERPRISE,FSD2,YOWESCK425GM,YOWE SWEET CORN KERNEL,24 X 425GM,24,CTN,6,144
FSD2INV-220501187,FSD2SO-063304,5/24/2022,C-2106011,CAFE MELBA THREE PTE LTD,CAFE MELBA - MOUNT SOPHIA,FSD2,ZZTSF500GM,TABLE FINE SALT ,48 X 500GM,1,BOX,3,3
FSD2INV-220501187,FSD2SO-063304,5/24/2022,C-2106011,CAFE MELBA THREE PTE LTD,CAFE MELBA - MOUNT SOPHIA,FSD2,FMNDTAG500GM,FIAMMA NIDI TAGLIATELLE,12 X 500GM,1,PKT,6,6
FSD2INV-220501191,FSD2SO-063307,5/24/2022,C-2010019,HATHAWAY PTE LTD,HATHAWAY PTE LTD,FSD2,ZZJDKDS100GM,KONBU DASHI -  SEAWEED,100GM / PKT,1,PKT,10,10
FSD2INV-220501191,FSD2SO-063307,5/24/2022,C-2010019,HATHAWAY PTE LTD,HATHAWAY PTE LTD,FSD2,ZZLKKKCOFS6KG,LKK KUM CHUN OYSTER SAUCE,3 X 6KG,1,TUB,1,1
FSD2INV-220501195,FSD2SO-063308,5/24/2022,C-2010005,DAEBAK KOREAN RESTAURANT,DAEBAK,FSD2,ZZSO17LTR,YOWE SOYA BEAN OIL (SALAD OIL),17LTR / TIN,1,TIN,1,1
FSD2INV-220501192,FSD2SO-063309,5/24/2022,C-2010019,HATHAWAY PTE LTD,HATHAWAY PTE LTD,FSD2,ZZPY1KG,CHILL MARIGOLD PLAIN YOGHURT NON FAT,12 X 1KG,1,TUB,8,8
FSD2INV-220501196,FSD2SO-063311,5/24/2022,C-2104009,EAT JOY PTE LTD,ABUNDANCE,FSD2,ZZBFRM3LTR,BEST FOOD REAL MAYONNAISE,4 X 3LTR,1,TUB,1,1
FSD2INV-220501165,FSD2SO-063289,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,DZWPP500GM,YOWE WHITE PEPPER POWDER,20 X 500GM,1,PKT,1,1
FSD2INV-220501166,FSD2SO-063293,5/25/2022,C-2106032,SPACE BQ PTE LTD,SPACE BQ PTE LTD,FSD2,SAPGARP1KG,SAPORITO GARLIC POWDER,12 X 1KG,1,PKT,4,4
FSD2INV-220501166,FSD2SO-063293,5/25/2022,C-2106032,SPACE BQ PTE LTD,SPACE BQ PTE LTD,FSD2,ZZOP1KG,SAPORITO ONION POWDER,12 x 1KG,1,PKT,4,4
FSD2INV-220501166,FSD2SO-063293,5/25/2022,C-2106032,SPACE BQ PTE LTD,SPACE BQ PTE LTD,FSD2,ZZLKPANOS770GM,LKK PANDA OYSTER SAUCE,12 X 770GM,1,BTL,5,5
FSD2INV-220501170,FSD2SO-063296,5/24/2022,C-004707,FUNLAB SINGAPORE HOLDINGS PTE LTD,HOLEY MOLEY GOLF CLUB,FSD2,ZZVS100S,"FROZEN FINGER FOOD - YOKEE CURRY SAMOSA ""vegetable""",8 (BOX) X 96'S X 15GM,1,BOX,1,1
FSD2INV-220501194,FSD2SO-063300,5/24/2022,C-2204044,LITTLE FARMS PTE LTD - RIVER VALLEY,LITTLE FARMS CAFE - RIVER VALLEY,FSD2,FMLING500GM,SAPORITO LINGUINE,24 X 500GM,1,PKT,6,6
FSD2INV-220501194,FSD2SO-063300,5/24/2022,C-2204044,LITTLE FARMS PTE LTD - RIVER VALLEY,LITTLE FARMS CAFE - RIVER VALLEY,FSD2,ZZCNO2LTR,YOWE CANOLA OIL,6 X 2LTR,1,BTL,4,4
FSD2INV-220501185,FSD2SO-063302,5/24/2022,C-004446,LOCAL COFFEE PEOPLE PTE LTD,LOCAL COFFEE PEOPLE @ THE SAIL,FSD2,ZZNFBL3400ML,YOWELL BLEACH,4 X 3.8LTR,1,TUB,8,8
FSD2INV-220501187,FSD2SO-063304,5/24/2022,C-2106011,CAFE MELBA THREE PTE LTD,CAFE MELBA - MOUNT SOPHIA,FSD2,ZZJBM10KG,K200 batter mix,2 X 10KG,1,BAG,1,1
FSD2INV-220501191,FSD2SO-063307,5/24/2022,C-2010019,HATHAWAY PTE LTD,HATHAWAY PTE LTD,FSD2,ZZJWMP1KG,SHIRO MISO PASTE-WHITE MISO,10 X 1KG,1,PKT,3,3
FSD2INV-220501191,FSD2SO-063307,5/24/2022,C-2010019,HATHAWAY PTE LTD,HATHAWAY PTE LTD,FSD2,ZZCHP100GM,MDH KASHMIRI CHILLI POWDER,60 x 100GM ,1,BOX,4,4
FSD2INV-220501191,FSD2SO-063307,5/24/2022,C-2010019,HATHAWAY PTE LTD,HATHAWAY PTE LTD,FSD2,ZZKCMB1LTR,"KARA COCONUT CREAM ""BLUE"" 100049029",12 X 1LTR,1,PKT,24,24
FSD2INV-220501191,FSD2SO-063307,5/24/2022,C-2010019,HATHAWAY PTE LTD,HATHAWAY PTE LTD,FSD2,YWBSSMO600ML,YOWE SESAME OIL - blended,12 X 630ML,1,BTL,6,6
FSD2INV-220501202,FSD2SO-063310,5/24/2022,C-002212,SAIGON ROLLS PTE LTD,SAIGON ROLLS PTE LTD,FSD2,ZZDLW1KG,CHILL DRIED LONGAN - white,12 X 1KG,1,PKT,1,1
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,ZZCHP500GM,YOWE /HOUSEBRAND CHILLI POWDER,25 X 500GM,1,PKT,1,1
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,ZZMGCCS1200GM,MAGGI CONCENTRATED CHICKEN STOCK ,6 X 1.2KG,1,BTL,2,2
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,ZZKCTDSS5LTR,KCT DARK SOYA SAUCE GRADE 3,5LTR / TUB,1,TUB,1,1
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,ZZFMTF500GM,FLYING MAN TAPIOCA FLOUR,50 X 500GM,1,PKT,20,20
FSD2INV-220501204,FSD2SO-063316,5/24/2022,C-2101034,DAZZLING DELISH,DAZZLING DELISH,FSD2,ZZTSF500GM,TABLE FINE SALT ,48 X 500GM,1,BOX,4,4
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,ZZBKSRF1KG,BLUE KEY SELF RAISING FLOUR ,12 X 1KG,1,PKT,3,3
FSD2INV-220501197,FSD2SO-063313,5/25/2022,C-2106028,MY TERRITORY - FOCH,8 Degrees Taiwanese Bistro - Foch,FSD2,DZWPP500GM,YOWE WHITE PEPPER POWDER,20 X 500GM,1,PKT,5,5
FSD2INV-220501204,FSD2SO-063316,5/24/2022,C-2101034,DAZZLING DELISH,DAZZLING DELISH,FSD2,RMMYG500ML,SAPORITO MAYONNAISE - GLASS,12 X 500ML,1,BTL,2,2
FSD2INV-220501204,FSD2SO-063316,5/24/2022,C-2101034,DAZZLING DELISH,DAZZLING DELISH,FSD2,SAPUFCM1LTR,SAPORITO UHT MILK - 3.5% FAT with CAP,12 X 1LTR,1,PKT,2,2
FSD2INV-220501204,FSD2SO-063316,5/24/2022,C-2101034,DAZZLING DELISH,DAZZLING DELISH,FSD2,ZZRBS3KG,"HONEY RED BEAN ""SOUP"" ",6 x 3.3KG,1,TIN,1,1
FSD2INV-220501199,FSD2SO-063317,5/25/2022,C-2102013,QUE PASA PTE LTD,QUE PASA PTE LTD,FSD2,ZZNFDWL5LTR,YOWELL DISH WASHING LIQUID,4 x 5LTR,1,BTL,3,3
FSD2INV-220501201,FSD2SO-063318,5/24/2022,C-000530,THE CRE8TIVE GROUP PTE LTD-ORCHARD,SUPPLY & DEMAND - ORCHARD,FSD2,ZZLF400GM,BALOCCO LADY FINGERS,15 X 400GM,1,BTL,2,2
FSD2INV-220501201,FSD2SO-063318,5/24/2022,C-000530,THE CRE8TIVE GROUP PTE LTD-ORCHARD,SUPPLY & DEMAND - ORCHARD,FSD2,ZZMLIIN127GM,NESTLE MILO 3 IN 1 - new packaging,12 x 30's x 27gm,1,PKT,1,1
FSD2INV-220501201,FSD2SO-063318,5/24/2022,C-000530,THE CRE8TIVE GROUP PTE LTD-ORCHARD,SUPPLY & DEMAND - ORCHARD,FSD2,ZZABCKM625GM,"ABC KICAP MANIS GLASS ""BTL""",12 X 620ML,1,BTL,2,2
FSD2INV-220501201,FSD2SO-063318,5/24/2022,C-000530,THE CRE8TIVE GROUP PTE LTD-ORCHARD,SUPPLY & DEMAND - ORCHARD,FSD2,DZBPCRH500GM,YOWE BLACK PEPPER CRUSHED,40 x 500GM,1,PKT,2,2
FSD2INV-220501206,FSD2SO-063320,5/24/2022,C-004145,SKYDD PTE LTD,SKYDD PTE LTD (OH SOME BOWL),FSD2,ZZBFHMD2LTR,BEST FOOD HONEY MUSTARD DRESSING,6 X 2.5LTR,1,TUB,1,1
FSD2INV-220501205,FSD2SO-063322,5/24/2022,C-2012100,SG JAPANESE FOOD PTE LTD @ SUNTEC,SG JAPANESE FOOD PTE LTD @ SUNTEC,FSD2,ZZJPGP1KG,"PICKLES CUCUMBER - PARIKO ""GREEN""",10 X 1 KG,1,PKT,1,1
FSD2INV-220501205,FSD2SO-063322,5/24/2022,C-2012100,SG JAPANESE FOOD PTE LTD @ SUNTEC,SG JAPANESE FOOD PTE LTD @ SUNTEC,FSD2,ZZJS500GM,JAPANESE SEAWEED - CUT WAKAME,20 X 500GM,1,PKT,2,2
FSD2INV-220501208,FSD2SO-063323,5/24/2022,C-2108017,LRS Partnership Pte Ltd,MAMA DIAM,FSD2,A1STKS240ML,A1 SAUCE,24 X 240ML,1,BTL,8,8
FSD2INV-220501217,FSD2SO-063330,5/25/2022,C-2102043,SPACE TPC PTE LTD,SPACE TPC PTE LTD,FSD2,MGCS340GM,"MAGGI CHILLI SAUCE ""HC""",24 X 340GM,1,BTL,10,10
