Bin.,No.,Description,Packing Size,UOM
11-LN1,ZZHZSC3300GM,HEINZ SWEET CHILLI SAUCE,6 X 3.3KG,TIN
11-LN1,ZZHZTK3300GM,HEINZ TOMATO KETCHUP,6 X 3.3KG,TIN
11-LN2,ZZVCS270GM,"CHOLIMEX CHILLI SAUCE ""vietnam- Tuong Ot""",24 x 270GM,BTL
11-LN2,ZZVTS270GM,"CHOLIMEX TOMATO SAUCE ""vietnam- Tuong ca""",24 x 270GM,BTL
11-LP1,ZZHZHD3300GM,HEINZ HAMBURGER DILL SLICED,6 X 3.3KG,TIN
11-LP1,ZZTP4500GM,HEINZ TOMATO PASTE,6 X 3KG,TIN
11-LP2,ZZDMTK340GM,DELMONTE TOMATO KETCHUP,24 X 340GM,BTL
11-LP2,ZZHZYM2300GM,HEINZ YELLOW MUSTARD,6 X 2.95KG,BTL
11-LQ1,ZZLKTPSA10,LKK CHILLI BEAN SAUCE - TOBAN DJAN SAUCE,6 X 2.04KG,TIN
11-LQ1,ZZLKHOIS2200GM,LKK HOISIN SAUCE,6 X 2.27KG,TIN
11-LQ2,ZZLKNCC1KG,LKK NANYANG FLAVOUR - CHILLI CRAB PASTE,12 X 1KG,POUCH
11-LQ2,ZZLKNKP1KG,LKK NANYANG FLAVOUR - KUNG PAO PASTE,12 X 1KG,POUCH
12-LA1,EMNPS25KG,EMSLAND POTATO STARCH,25KG / BAG,BAG
12-LA1,ZZPSF5KG,YOWE POTATO STARCH FLOUR,4 X 5KG,PKT
12-LA2,ZZPSF2KG,YOWE POTATO STARCH / FLOUR,12 x 2KG,PKT
12-LA2,ZZPSF1KG,YOWE POTATO STARCH FLOUR,20 x 1KG,PKT
12-LC1,ZZERF600GM,ERAWAN RICE FLOUR,20 X 600GM,PKT
12-LC1,ZZFMTF500GM,FLYING MAN TAPIOCA FLOUR,50 X 500GM,PKT
12-LC2,ZZEGRF600GM,ERAWAN GLUTINOUS RICE FLOUR,20 X 600GM,PKT
12-LC2,ZZSSSRF1KG,SUNSHINE SELF RAISING FLOUR,20 X 1KG,BOX
12-LD1,ZZSPF500GM,FLYING MAN SWEET POTATO FLOUR,20 X 500GM,PKT
12-LD1,YKTEF500GM,YOKEE TEMPURA FLOUR,20 X 500GM,PKT
12-LD2,ZZRF600GM,ELEPHANT BALL RICE FLOUR,16 X 600GM,PKT
12-LD2,DZPSF350GM,YOWE POTATO STARCH FLOUR,50 x 350GM,PKT
12-LE1,ZZDPF1KG,PRIMA PLAIN FLOUR,10 X 1KG,PKT
12-LE1,ZZWWF1KG,YOWE WHEAT WHITE PLAIN FLOUR,20 x 1KG,PKT
12-LE2,ZZGRF600GM,ELEPHANT BALL GLUTINOUS RICE FLOUR,16 X 600GM,PKT
12-LE2,ZZCS400GM,YOWE CORN STARCH /  FLOUR,40 X 400GM,PKT
