,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
8058,4868,12/2/2018,3754367,82067,1,82067,A0715504,A07,15,"[32.5, 18.0]",A0715,"(60, 120)"
8059,4869,12/2/2018,3754367,361850,1,361850,A0509304,A05,9,"[39.0, 13.5]",A0509,"(80, 60)"
8060,4870,12/2/2018,3754355,276553,1,276553,A0411502,A04,11,"[42.25, 15.0]",A0411,"(210, 340)"
8061,4871,12/2/2018,3754355,299903,1,299903,A0311105,A03,11,"[45.5, 15.0]",A0311,"(320, 160)"
8062,4872,12/2/2018,3754347,362928,1,362928,A0218305,A02,18,"[47.5, 19.5]",A0218,"(440, 320)"
8063,4873,12/2/2018,3754312,347112,1,347112,A0711103,A07,11,"[32.5, 15.0]",A0711,"(160, 320)"
8064,4874,12/2/2018,3754306,263737,1,263737,A0413203,A04,13,"[42.25, 16.5]",A0413,"(260, 320)"
8065,4875,12/2/2018,3754283,263731,1,263731,A0412203,A04,12,"[41.0, 15.0]",A0412,"(250, 180)"
8066,4876,12/2/2018,3754272,320535,1,320535,A0607503,A06,7,"[35.75, 12.0]",A0607,"(310, 280)"
8067,4877,12/2/2018,3754260,389086,1,389086,A0311406,A03,11,"[45.5, 15.0]",A0311,"(70, 340)"
8068,4878,12/2/2018,3754249,440469,4,440469,A1007401,A10,7,"[22.75, 12.0]",A1007,"(400, 220)"
8069,4879,12/2/2018,3754248,397345,1,397345,A0914202,A09,14,"[24, 16.5]",A0914,"(240, 180)"
8070,4880,12/2/2018,3754241,427755,1,427755,A0202206,A02,2,"[47.5, 6.0]",A0202,"(240, 220)"
8071,4881,12/2/2018,3754223,353788,1,353788,A0906503,A09,6,"[24, 10.5]",A0906,"(300, 100)"
8072,4882,12/2/2018,3754224,370790,1,370790,A0902301,A09,2,"[24, 6.0]",A0902,"(310, 240)"
8073,4883,12/2/2018,3754199,269959,1,269959,A0108301,A01,8,"[50.75, 12.0]",A0108,"(70, 320)"
8074,4884,12/2/2018,3754198,374222,1,374222,A0110202,A01,10,"[50.75, 13.5]",A0110,"(370, 380)"
8075,4885,12/2/2018,3754173,363492,1,363492,A0218201,A02,18,"[47.5, 19.5]",A0218,"(420, 60)"
8076,4886,12/2/2018,3754164,427755,1,427755,A0202206,A02,2,"[47.5, 6.0]",A0202,"(240, 220)"
8077,4887,12/2/2018,3754161,302739,1,302739,A0703201,A07,3,"[32.5, 9.0]",A0703,"(50, 300)"
8078,4888,12/2/2018,3754157,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
8079,4889,12/2/2018,3754158,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
8080,4890,12/2/2018,3754132,292714,1,292714,A0410402,A04,10,"[41.0, 13.5]",A0410,"(240, 200)"
8081,4891,12/2/2018,3754133,366684,1,366684,A0109101,A01,9,"[52.0, 13.5]",A0109,"(180, 300)"
8082,4892,12/2/2018,3754114,263736,1,263736,A0406401,A04,6,"[41.0, 10.5]",A0406,"(110, 60)"
8083,4893,12/2/2018,3754104,425499,1,425499,A0306502,A03,6,"[44.25, 10.5]",A0306,"(410, 280)"
8084,4894,12/2/2018,3754094,426295,1,426295,A0311402,A03,11,"[45.5, 15.0]",A0311,"(340, 180)"
8085,4895,12/2/2018,3754095,348791,1,348791,A0902203,A09,2,"[24, 6.0]",A0902,"(220, 220)"
8086,4896,12/2/2018,3754090,452623,1,452623,A0621204,A06,21,"[35.75, 22.5]",A0621,"(50, 360)"
8087,4897,12/2/2018,3754075,335351,1,335351,A1017504,A10,17,"[22.75, 19.5]",A1017,"(280, 100)"
8088,4898,12/2/2018,3754069,402179,1,402179,A0619403,A06,19,"[35.75, 21.0]",A0619,"(390, 40)"
8089,4899,12/2/2018,3754044,389086,1,389086,A0311406,A03,11,"[45.5, 15.0]",A0311,"(70, 340)"
8090,4900,12/2/2018,3754045,326280,1,326280,A0608404,A06,8,"[34.5, 12.0]",A0608,"(170, 380)"
