,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
0,0,12/11/2018,3780678,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
1,1,12/11/2018,3780650,340308,1,340308,A0721204,A07,21,"[32.5, 22.5]",A0721,"(350, 200)"
2,2,12/11/2018,3780649,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
3,3,12/11/2018,3780645,442025,1,442025,A0706401,A07,6,"[31.25, 10.5]",A0706,"(210, 260)"
4,4,12/11/2018,3780638,436455,1,436455,A0216107,A02,16,"[47.5, 18.0]",A0216,"(350, 240)"
5,5,12/11/2018,3780641,403849,1,403849,A0308201,A03,8,"[44.25, 12.0]",A0308,"(260, 360)"
6,6,12/11/2018,3780633,439405,1,439405,A0403203,A04,3,"[42.25, 9.0]",A0403,"(150, 120)"
7,7,12/11/2018,3780621,419207,2,419207,A0503203,A05,3,"[39.0, 9.0]",A0503,"(170, 160)"
8,8,12/11/2018,3780621,447663,1,447663,A1020501,A10,20,"[20.75, 21.0]",A1020,"(100, 140)"
9,9,12/11/2018,3780618,364507,1,364507,A0306503,A03,6,"[44.25, 10.5]",A0306,"(50, 180)"
10,10,12/11/2018,3780596,254222,1,254222,A0719102,A07,19,"[32.5, 21.0]",A0719,"(290, 120)"
11,12,12/11/2018,3780592,434110,1,434110,A0315405,A03,15,"[45.5, 18.0]",A0315,"(120, 160)"
12,12,12/11/2018,3780592,404062,2,404062,A0320401,A03,20,"[44.25, 21.0]",A0320,"(150, 180)"
13,11,12/11/2018,3780592,351051,1,351051,A0714203,A07,14,"[31.25, 16.5]",A0714,"(420, 120)"
14,15,12/11/2018,3780592,442977,2,442977,A0517304,A05,17,"[39.0, 19.5]",A0517,"(180, 20)"
15,15,12/11/2018,3780592,442439,2,442439,A0711102,A07,11,"[32.5, 15.0]",A0711,"(200, 160)"
16,12,12/11/2018,3780592,351052,1,351052,A0714301,A07,14,"[31.25, 16.5]",A0714,"(340, 200)"
17,18,12/11/2018,3780588,372417,2,372417,A0208307,A02,8,"[47.5, 12.0]",A0208,"(120, 140)"
18,18,12/11/2018,3780588,442023,1,442023,A0702503,A07,2,"[31.25, 6.0]",A0702,"(240, 140)"
19,18,12/11/2018,3780588,370781,2,370781,A1008402,A10,8,"[20.75, 12.0]",A1008,"(300, 280)"
20,13,12/11/2018,3780588,442946,1,442946,A0309308,A03,9,"[45.5, 13.5]",A0309,"(150, 340)"
21,14,12/11/2018,3780589,326280,1,326280,A0608404,A06,8,"[34.5, 12.0]",A0608,"(170, 380)"
22,15,12/11/2018,3780574,380521,1,380521,A0322308,A03,22,"[44.25, 22.5]",A0322,"(400, 300)"
23,24,12/11/2018,3780574,454369,2,454369,A0608204,A06,8,"[34.5, 12.0]",A0608,"(360, 120)"
24,24,12/11/2018,3780574,422119,1,422119,A0602202,A06,2,"[34.5, 6.0]",A0602,"(240, 100)"
25,24,12/11/2018,3780574,397351,2,397351,A0918302,A09,18,"[24, 19.5]",A0918,"(310, 360)"
26,27,12/11/2018,3780574,349072,1,349072,A1019304,A10,19,"[22.75, 21.0]",A1019,"(260, 240)"
27,27,12/11/2018,3780574,401556,1,401556,A0316404,A03,16,"[44.25, 18.0]",A0316,"(240, 360)"
28,29,12/11/2018,3780574,307785,2,307785,A0220203,A02,20,"[47.5, 21.0]",A0220,"(180, 140)"
29,29,12/11/2018,3780574,341956,2,341956,A1019201,A10,19,"[22.75, 21.0]",A1019,"(300, 40)"
30,29,12/11/2018,3780574,433414,1,433414,A0304207,A03,4,"[44.25, 9.0]",A0304,"(70, 40)"
31,32,12/11/2018,3780574,439407,1,439407,A0318301,A03,18,"[44.25, 19.5]",A0318,"(80, 180)"
32,32,12/11/2018,3780574,264149,2,264149,A0911204,A09,11,"[26, 15.0]",A0911,"(330, 320)"
33,27,12/11/2018,3780574,453965,2,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
34,16,12/11/2018,3780574,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
35,36,12/11/2018,3780556,425964,2,425964,A0304408,A03,4,"[44.25, 9.0]",A0304,"(70, 120)"
36,36,12/11/2018,3780556,348813,1,348813,A0907404,A09,7,"[26, 12.0]",A0907,"(90, 280)"
37,38,12/11/2018,3780556,446382,1,446382,A0517301,A05,17,"[39.0, 19.5]",A0517,"(400, 100)"
38,38,12/11/2018,3780556,438512,1,438512,A0515203,A05,15,"[39.0, 18.0]",A0515,"(120, 120)"
39,38,12/11/2018,3780556,295643,2,295643,A0904404,A09,4,"[24, 9.0]",A0904,"(150, 320)"
40,17,12/11/2018,3780556,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
41,18,12/11/2018,3780559,287410,1,287410,A0609202,A06,9,"[35.75, 13.5]",A0609,"(360, 200)"
42,19,12/11/2018,3780559,440531,1,440531,A1011103,A10,11,"[22.75, 15.0]",A1011,"(380, 380)"
43,20,12/11/2018,3780559,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
44,21,12/11/2018,3780555,290863,1,290863,A1011204,A10,11,"[22.75, 15.0]",A1011,"(360, 240)"
45,22,12/11/2018,3780555,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
46,47,12/11/2018,3780553,368323,2,368323,A1113102,A11,13,"[19.5, 16.5]",A1113,"(260, 40)"
47,47,12/11/2018,3780553,371177,2,371177,A0320508,A03,20,"[44.25, 21.0]",A0320,"(150, 340)"
48,49,12/11/2018,3780553,458569,2,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
49,49,12/11/2018,3780553,398768,1,398768,A0308503,A03,8,"[44.25, 12.0]",A0308,"(200, 280)"
50,49,12/11/2018,3780553,391450,2,391450,A0513404,A05,13,"[39.0, 16.5]",A0513,"(310, 180)"
51,23,12/11/2018,3780553,344980,1,344980,A0410303,A04,10,"[41.0, 13.5]",A0410,"(230, 320)"
52,24,12/11/2018,3780530,253464,1,253464,A0507401,A05,7,"[39.0, 12.0]",A0507,"(120, 100)"
53,25,12/11/2018,3780514,427203,1,427203,A0306304,A03,6,"[44.25, 10.5]",A0306,"(320, 220)"
54,26,12/11/2018,3780514,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
55,27,12/11/2018,3780504,427755,2,427755,A0202206,A02,2,"[47.5, 6.0]",A0202,"(240, 220)"
56,57,12/11/2018,3780505,374297,2,374297,A0105201,A01,5,"[52.0, 10.5]",A0105,"(210, 200)"
57,58,12/11/2018,3780505,292187,1,292187,A0914401,A09,14,"[24, 16.5]",A0914,"(50, 180)"
58,58,12/11/2018,3780505,434108,2,434108,A0405303,A04,5,"[42.25, 10.5]",A0405,"(190, 80)"
59,57,12/11/2018,3780505,437905,2,437905,A0218202,A02,18,"[47.5, 19.5]",A0218,"(160, 120)"
60,57,12/11/2018,3780505,146788,1,146788,A0205204,A02,5,"[48.75, 10.5]",A0205,"(140, 60)"
61,62,12/11/2018,3780505,403589,2,403589,A0104202,A01,4,"[50.75, 9.0]",A0104,"(210, 20)"
62,63,12/11/2018,3780505,460231,2,460231,A0919103,A09,19,"[26, 21.0]",A0919,"(340, 140)"
63,64,12/11/2018,3780505,458569,1,458569,A0714304,A07,14,"[31.25, 16.5]",A0714,"(380, 220)"
64,64,12/11/2018,3780505,339813,1,339813,A1009402,A10,9,"[22.75, 13.5]",A1009,"(160, 120)"
65,64,12/11/2018,3780505,436724,2,436724,A0411302,A04,11,"[42.25, 15.0]",A0411,"(180, 80)"
66,63,12/11/2018,3780505,432235,2,432235,A0418203,A04,18,"[41.0, 19.5]",A0418,"(290, 160)"
67,62,12/11/2018,3780505,388041,2,388041,A0804403,A08,4,"[28.0, 9.0]",A0804,"(90, 160)"
68,62,12/11/2018,3780505,448369,2,448369,A0714404,A07,14,"[31.25, 16.5]",A0714,"(80, 240)"
69,28,12/11/2018,3780505,263737,1,263737,A0413203,A04,13,"[42.25, 16.5]",A0413,"(260, 320)"
70,29,12/11/2018,3780503,371960,1,371960,A0310504,A03,10,"[44.25, 13.5]",A0310,"(190, 120)"
71,72,12/11/2018,3780497,264229,1,264229,A0107502,A01,7,"[52.0, 12.0]",A0107,"(190, 180)"
72,72,12/11/2018,3780497,444299,1,444299,A0518104,A05,18,"[37.75, 19.5]",A0518,"(100, 300)"
73,72,12/11/2018,3780497,452319,2,452319,A0604204,A06,4,"[34.5, 9.0]",A0604,"(250, 140)"
74,30,12/11/2018,3780497,437987,1,437987,A0507101,A05,7,"[39.0, 12.0]",A0507,"(50, 200)"
75,76,12/11/2018,3780497,259768,1,259768,A0911102,A09,11,"[26, 15.0]",A0911,"(120, 200)"
76,76,12/11/2018,3780497,122001,1,122001,A0321407,A03,21,"[45.5, 22.5]",A0321,"(420, 260)"
77,76,12/11/2018,3780497,397505,1,397505,A1004203,A10,4,"[20.75, 9.0]",A1004,"(200, 320)"
78,31,12/11/2018,3780497,442479,1,442479,A1117201,A11,17,"[19.5, 19.5]",A1117,"(170, 220)"
79,32,12/11/2018,3780497,448369,1,448369,A0714404,A07,14,"[31.25, 16.5]",A0714,"(80, 240)"
80,33,12/11/2018,3780497,453963,2,453963,A1120101,A11,20,"[15.25, 21.0]",A1120,"(370, 280)"
81,34,12/11/2018,3780481,336641,1,336641,A0302402,A03,2,"[44.25, 6.0]",A0302,"(180, 140)"
82,35,12/11/2018,3780481,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
83,36,12/11/2018,3780482,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
84,85,12/11/2018,3780482,448505,2,448505,A0220108,A02,20,"[47.5, 21.0]",A0220,"(400, 200)"
85,85,12/11/2018,3780482,421579,1,421579,A0321308,A03,21,"[45.5, 22.5]",A0321,"(260, 260)"
86,85,12/11/2018,3780482,265242,1,265242,A0401502,A04,1,"[42.25, 6.0]",A0401,"(150, 200)"
87,37,12/11/2018,3780482,464707,1,464707,A0321403,A03,21,"[45.5, 22.5]",A0321,"(290, 320)"
88,38,12/11/2018,3780450,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
89,39,12/11/2018,3780450,442946,1,442946,A0309308,A03,9,"[45.5, 13.5]",A0309,"(150, 340)"
90,40,12/11/2018,3780423,423094,1,423094,A0919502,A09,19,"[26, 21.0]",A0919,"(330, 300)"
91,92,12/11/2018,3780175,330661,2,330661,A0802104,A08,2,"[28.0, 6.0]",A0802,"(70, 320)"
92,92,12/11/2018,3780175,255371,1,255371,A0222304,A02,22,"[47.5, 22.5]",A0222,"(280, 20)"
93,94,12/11/2018,3780175,370811,2,370811,A0904402,A09,4,"[24, 9.0]",A0904,"(190, 220)"
94,95,12/11/2018,3780175,235225,1,235225,A0505302,A05,5,"[39.0, 10.5]",A0505,"(80, 220)"
95,96,12/11/2018,3780175,256708,2,256708,A0204203,A02,4,"[47.5, 9.0]",A0204,"(130, 260)"
96,97,12/11/2018,3780175,362501,1,362501,A0708304,A07,8,"[31.25, 12.0]",A0708,"(70, 160)"
97,97,12/11/2018,3780175,402550,1,402550,A0612504,A06,12,"[34.5, 15.0]",A0612,"(420, 40)"
98,99,12/11/2018,3780175,335350,2,335350,A1017501,A10,17,"[22.75, 19.5]",A1017,"(310, 40)"
99,100,12/11/2018,3780175,348132,1,348132,A0706104,A07,6,"[31.25, 10.5]",A0706,"(250, 140)"
100,100,12/11/2018,3780175,455655,1,455655,A0312206,A03,12,"[44.25, 15.0]",A0312,"(130, 220)"
101,100,12/11/2018,3780175,440188,2,440188,A0502403,A05,2,"[37.75, 6.0]",A0502,"(50, 140)"
102,99,12/11/2018,3780175,288155,2,288155,A0612503,A06,12,"[34.5, 15.0]",A0612,"(420, 260)"
103,99,12/11/2018,3780175,237659,2,237659,A1010204,A10,10,"[20.75, 13.5]",A1010,"(250, 300)"
104,97,12/11/2018,3780175,460127,2,460127,A0412102,A04,12,"[41.0, 15.0]",A0412,"(330, 340)"
105,96,12/11/2018,3780175,331637,2,331637,A0917403,A09,17,"[26, 19.5]",A0917,"(350, 240)"
106,95,12/11/2018,3780175,242482,1,242482,A0319103,A03,19,"[45.5, 21.0]",A0319,"(430, 120)"
107,95,12/11/2018,3780175,388046,2,388046,A0920304,A09,20,"[24, 21.0]",A0920,"(130, 40)"
108,94,12/11/2018,3780175,380516,1,380516,A0322306,A03,22,"[44.25, 22.5]",A0322,"(110, 120)"
109,41,12/11/2018,3780175,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
110,42,12/11/2018,3780173,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
111,43,12/11/2018,3780173,441483,1,441483,A0320505,A03,20,"[44.25, 21.0]",A0320,"(290, 40)"
112,44,12/11/2018,3780138,179875,1,179875,A0322103,A03,22,"[44.25, 22.5]",A0322,"(350, 140)"
113,45,12/11/2018,3780138,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
114,115,12/11/2018,3780125,398768,1,398768,A0308503,A03,8,"[44.25, 12.0]",A0308,"(200, 280)"
115,115,12/11/2018,3780125,278955,2,278955,A0904202,A09,4,"[24, 9.0]",A0904,"(280, 20)"
116,117,12/11/2018,3780125,361603,1,361603,A0202103,A02,2,"[47.5, 6.0]",A0202,"(120, 300)"
117,117,12/11/2018,3780125,405155,2,405155,A0413103,A04,13,"[42.25, 16.5]",A0413,"(90, 40)"
118,115,12/11/2018,3780125,366664,2,366664,A0514201,A05,14,"[37.75, 16.5]",A0514,"(140, 280)"
119,46,12/11/2018,3780125,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
120,47,12/11/2018,3780122,412344,1,412344,A0506502,A05,6,"[37.75, 10.5]",A0506,"(280, 180)"
121,48,12/11/2018,3780122,460231,1,460231,A0919103,A09,19,"[26, 21.0]",A0919,"(340, 140)"
122,49,12/11/2018,3780114,438415,1,438415,A0512402,A05,12,"[37.75, 15.0]",A0512,"(440, 240)"
123,50,12/11/2018,3780084,452623,1,452623,A0621204,A06,21,"[35.75, 22.5]",A0621,"(50, 360)"
124,125,12/11/2018,3780087,397511,2,397511,A1010403,A10,10,"[20.75, 13.5]",A1010,"(350, 200)"
125,125,12/11/2018,3780087,449320,2,449320,A0713101,A07,13,"[32.5, 16.5]",A0713,"(50, 100)"
126,51,12/11/2018,3780087,374648,1,374648,A0317501,A03,17,"[45.5, 19.5]",A0317,"(190, 320)"
127,128,12/11/2018,3780080,439893,1,439893,A1005502,A10,5,"[22.75, 10.5]",A1005,"(250, 100)"
128,128,12/11/2018,3780080,350800,1,350800,A0613204,A06,13,"[35.75, 16.5]",A0613,"(430, 160)"
129,128,12/11/2018,3780080,404959,1,404959,A0106502,A01,6,"[50.75, 10.5]",A0106,"(310, 240)"
130,131,12/11/2018,3780080,366684,1,366684,A0109101,A01,9,"[52.0, 13.5]",A0109,"(180, 300)"
131,131,12/11/2018,3780080,339813,1,339813,A1009402,A10,9,"[22.75, 13.5]",A1009,"(160, 120)"
132,52,12/11/2018,3780080,285652,1,285652,A0314404,A03,14,"[44.25, 16.5]",A0314,"(80, 280)"
133,53,12/11/2018,3780080,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
134,54,12/11/2018,3780069,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
135,55,12/11/2018,3780069,402695,1,402695,A0314408,A03,14,"[44.25, 16.5]",A0314,"(330, 20)"
136,56,12/11/2018,3780060,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
137,57,12/11/2018,3780007,348815,1,348815,A0904101,A09,4,"[24, 9.0]",A0904,"(200, 160)"
138,58,12/11/2018,3779985,351117,1,351117,A0719502,A07,19,"[32.5, 21.0]",A0719,"(340, 80)"
139,59,12/11/2018,3779972,442439,1,442439,A0711102,A07,11,"[32.5, 15.0]",A0711,"(200, 160)"
140,60,12/11/2018,3779923,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
141,61,12/11/2018,3779923,452873,1,452873,A0520304,A05,20,"[37.75, 21.0]",A0520,"(110, 280)"
142,62,12/11/2018,3779930,419208,1,419208,A0503301,A05,3,"[39.0, 9.0]",A0503,"(300, 20)"
143,144,12/11/2018,3779887,319023,2,319023,A0518402,A05,18,"[37.75, 19.5]",A0518,"(160, 280)"
144,144,12/11/2018,3779887,337428,2,337428,A0420404,A04,20,"[41.0, 21.0]",A0420,"(370, 260)"
145,146,12/11/2018,3779887,398668,2,398668,A0214304,A02,14,"[47.5, 16.5]",A0214,"(80, 260)"
146,146,12/11/2018,3779887,60322,2,60322,A0615504,A06,15,"[35.75, 18.0]",A0615,"(410, 60)"
147,144,12/11/2018,3779887,440194,1,440194,A1106204,A11,6,"[15.25, 10.5]",A1106,"(370, 80)"
148,149,12/11/2018,3779887,358926,1,358926,A0912504,A09,12,"[24, 15.0]",A0912,"(190, 380)"
149,150,12/11/2018,3779887,335350,1,335350,A1017501,A10,17,"[22.75, 19.5]",A1017,"(310, 40)"
150,150,12/11/2018,3779887,452501,2,452501,A0717301,A07,17,"[32.5, 19.5]",A0717,"(240, 80)"
151,149,12/11/2018,3779887,452255,1,452255,A0622304,A06,22,"[34.5, 22.5]",A0622,"(230, 140)"
152,149,12/11/2018,3779887,316445,2,316445,A0701102,A07,1,"[32.5, 6.0]",A0701,"(280, 260)"
153,63,12/11/2018,3779887,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
154,64,12/11/2018,3781799,399573,1,399573,A1119504,A11,19,"[19.5, 21.0]",A1119,"(330, 120)"
155,65,12/11/2018,3781789,335727,1,335727,A0202108,A02,2,"[47.5, 6.0]",A0202,"(160, 20)"
156,66,12/11/2018,3781784,411107,1,411107,A0614103,A06,14,"[34.5, 16.5]",A0614,"(170, 40)"
157,67,12/11/2018,3781780,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
158,159,12/11/2018,3781778,202891,2,202891,A1013304,A10,13,"[22.75, 16.5]",A1013,"(270, 320)"
159,159,12/11/2018,3781778,439928,2,439928,A1007203,A10,7,"[22.75, 12.0]",A1007,"(130, 60)"
160,159,12/11/2018,3781778,309462,2,309462,A1107203,A11,7,"[19.5, 12.0]",A1107,"(240, 20)"
161,68,12/11/2018,3781778,353788,1,353788,A0906503,A09,6,"[24, 10.5]",A0906,"(300, 100)"
162,69,12/11/2018,3781765,366659,2,366659,A0510402,A05,10,"[37.75, 13.5]",A0510,"(210, 80)"
163,70,12/11/2018,3781765,466406,2,466406,A1007501,A10,7,"[22.75, 12.0]",A1007,"(150, 40)"
164,71,12/11/2018,3781763,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
165,166,12/11/2018,3781737,398156,2,398156,A0308304,A03,8,"[44.25, 12.0]",A0308,"(160, 220)"
166,166,12/11/2018,3781737,362944,1,362944,A0220202,A02,20,"[47.5, 21.0]",A0220,"(160, 340)"
167,72,12/11/2018,3781737,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
168,169,12/11/2018,3781730,396484,1,396484,A0504302,A05,4,"[37.75, 9.0]",A0504,"(440, 380)"
169,169,12/11/2018,3781730,260229,1,260229,A0920303,A09,20,"[24, 21.0]",A0920,"(90, 280)"
170,171,12/11/2018,3781730,348799,2,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
171,171,12/11/2018,3781730,324356,2,324356,A0210405,A02,10,"[47.5, 13.5]",A0210,"(160, 180)"
172,73,12/11/2018,3781730,288155,1,288155,A0612503,A06,12,"[34.5, 15.0]",A0612,"(420, 260)"
173,74,12/11/2018,3781730,362503,1,362503,A0710204,A07,10,"[31.25, 13.5]",A0710,"(50, 40)"
174,75,12/11/2018,3781730,401415,1,401415,A0612101,A06,12,"[34.5, 15.0]",A0612,"(80, 260)"
175,76,12/11/2018,3781730,401416,1,401416,A0612104,A06,12,"[34.5, 15.0]",A0612,"(420, 160)"
176,77,12/11/2018,3781722,263928,1,263928,A0416404,A04,16,"[41.0, 18.0]",A0416,"(100, 280)"
177,78,12/11/2018,3781708,202889,1,202889,A0914502,A09,14,"[24, 16.5]",A0914,"(420, 60)"
178,79,12/11/2018,3781698,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
179,80,12/11/2018,3781699,450075,1,450075,A0916101,A09,16,"[24, 18.0]",A0916,"(330, 200)"
180,181,12/11/2018,3781691,259769,2,259769,A0911103,A09,11,"[26, 15.0]",A0911,"(150, 40)"
181,181,12/11/2018,3781691,437009,1,437009,A0711204,A07,11,"[32.5, 15.0]",A0711,"(400, 160)"
182,81,12/11/2018,3781691,432234,1,432234,A0407103,A04,7,"[42.25, 12.0]",A0407,"(70, 160)"
183,82,12/11/2018,3781687,424786,1,424786,A1014403,A10,14,"[20.75, 16.5]",A1014,"(240, 180)"
184,83,12/11/2018,3781682,253469,1,253469,A0604504,A06,4,"[34.5, 9.0]",A0604,"(230, 60)"
185,84,12/11/2018,3781680,389088,1,389088,A0309106,A03,9,"[45.5, 13.5]",A0309,"(230, 260)"
186,85,12/11/2018,3781681,449731,1,449731,A0918103,A09,18,"[24, 19.5]",A0918,"(400, 120)"
187,188,12/11/2018,3781669,345534,2,345534,A0316203,A03,16,"[44.25, 18.0]",A0316,"(380, 280)"
188,188,12/11/2018,3781669,434127,2,434127,A0801403,A08,1,"[29.25, 6.0]",A0801,"(370, 340)"
189,86,12/11/2018,3781669,389080,1,389080,A0312506,A03,12,"[44.25, 15.0]",A0312,"(440, 260)"
190,87,12/11/2018,3781657,264149,1,264149,A0911204,A09,11,"[26, 15.0]",A0911,"(330, 320)"
191,88,12/11/2018,3781560,349867,1,349867,A0719104,A07,19,"[32.5, 21.0]",A0719,"(100, 300)"
192,89,12/11/2018,3781548,369973,1,369973,A0606502,A06,6,"[34.5, 10.5]",A0606,"(330, 60)"
193,90,12/11/2018,3781521,450077,1,450077,A0920204,A09,20,"[24, 21.0]",A0920,"(50, 240)"
194,91,12/11/2018,3781521,450078,1,450078,A0904104,A09,4,"[24, 9.0]",A0904,"(140, 180)"
195,92,12/11/2018,3781521,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
196,93,12/11/2018,3781517,340100,1,340100,A0610401,A06,10,"[34.5, 13.5]",A0610,"(240, 80)"
197,94,12/11/2018,3781517,459891,1,459891,A0916202,A09,16,"[24, 18.0]",A0916,"(390, 320)"
198,95,12/11/2018,3781517,459892,1,459892,A0917401,A09,17,"[26, 19.5]",A0917,"(110, 280)"
199,200,12/11/2018,3781517,449733,2,449733,A0918104,A09,18,"[24, 19.5]",A0918,"(200, 160)"
200,200,12/11/2018,3781517,432234,2,432234,A0407103,A04,7,"[42.25, 12.0]",A0407,"(70, 160)"
201,96,12/11/2018,3781517,459893,1,459893,A0919504,A09,19,"[26, 21.0]",A0919,"(130, 320)"
202,203,12/11/2018,3781509,459893,1,459893,A0919504,A09,19,"[26, 21.0]",A0919,"(130, 320)"
203,203,12/11/2018,3781509,370790,1,370790,A0902301,A09,2,"[24, 6.0]",A0902,"(310, 240)"
204,203,12/11/2018,3781509,356086,1,356086,A0909104,A09,9,"[26, 13.5]",A0909,"(210, 160)"
205,97,12/11/2018,3781509,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
206,207,12/11/2018,3781499,264792,1,264792,A0218303,A02,18,"[47.5, 19.5]",A0218,"(330, 340)"
207,208,12/11/2018,3781499,372107,1,372107,A1001303,A10,1,"[22.75, 6.0]",A1001,"(300, 240)"
208,208,12/11/2018,3781499,281129,1,281129,A0605104,A06,5,"[35.75, 10.5]",A0605,"(280, 340)"
209,208,12/11/2018,3781499,442479,2,442479,A1117201,A11,17,"[19.5, 19.5]",A1117,"(170, 220)"
210,211,12/11/2018,3781499,452873,1,452873,A0520304,A05,20,"[37.75, 21.0]",A0520,"(110, 280)"
211,211,12/11/2018,3781499,445134,1,445134,A0318103,A03,18,"[44.25, 19.5]",A0318,"(190, 120)"
212,213,12/11/2018,3781499,403356,2,403356,A1107502,A11,7,"[19.5, 12.0]",A1107,"(370, 220)"
213,213,12/11/2018,3781499,256399,1,256399,A0922501,A09,22,"[24, 22.5]",A0922,"(60, 40)"
214,215,12/11/2018,3781499,348809,2,348809,A0907503,A09,7,"[26, 12.0]",A0907,"(230, 380)"
215,215,12/11/2018,3781499,397501,1,397501,A1001301,A10,1,"[22.75, 6.0]",A1001,"(230, 240)"
216,217,12/11/2018,3781499,292187,2,292187,A0914401,A09,14,"[24, 16.5]",A0914,"(50, 180)"
217,217,12/11/2018,3781499,413328,1,413328,A0614104,A06,14,"[34.5, 16.5]",A0614,"(340, 340)"
218,219,12/11/2018,3781499,374297,1,374297,A0105201,A01,5,"[52.0, 10.5]",A0105,"(210, 200)"
219,219,12/11/2018,3781499,402932,2,402932,A0304301,A03,4,"[44.25, 9.0]",A0304,"(110, 140)"
220,219,12/11/2018,3781499,446739,1,446739,A1010202,A10,10,"[20.75, 13.5]",A1010,"(250, 160)"
221,222,12/11/2018,3781499,389086,1,389086,A0311406,A03,11,"[45.5, 15.0]",A0311,"(70, 340)"
222,222,12/11/2018,3781499,306461,1,306461,A0905101,A09,5,"[26, 10.5]",A0905,"(340, 240)"
223,222,12/11/2018,3781499,459918,2,459918,A1107304,A11,7,"[19.5, 12.0]",A1107,"(200, 240)"
224,217,12/11/2018,3781499,318273,2,318273,A0904102,A09,4,"[24, 9.0]",A0904,"(120, 320)"
225,215,12/11/2018,3781499,446380,2,446380,A0604502,A06,4,"[34.5, 9.0]",A0604,"(220, 200)"
226,207,12/11/2018,3781499,426687,2,426687,A0610504,A06,10,"[34.5, 13.5]",A0610,"(360, 320)"
227,98,12/11/2018,3781499,370781,1,370781,A1008402,A10,8,"[20.75, 12.0]",A1008,"(300, 280)"
228,99,12/11/2018,3781490,461527,1,461527,A0313306,A03,13,"[45.5, 16.5]",A0313,"(70, 260)"
229,100,12/11/2018,3781488,454369,2,454369,A0608204,A06,8,"[34.5, 12.0]",A0608,"(360, 120)"
230,101,12/11/2018,3781477,263736,1,263736,A0406401,A04,6,"[41.0, 10.5]",A0406,"(110, 60)"
231,102,12/11/2018,3781475,403848,1,403848,A0308106,A03,8,"[44.25, 12.0]",A0308,"(220, 200)"
232,103,12/11/2018,3781474,244579,2,244579,A0701104,A07,1,"[32.5, 6.0]",A0701,"(90, 260)"
233,104,12/11/2018,3781472,263738,1,263738,A0412503,A04,12,"[41.0, 15.0]",A0412,"(360, 120)"
234,105,12/11/2018,3781471,308519,1,308519,A0520203,A05,20,"[37.75, 21.0]",A0520,"(220, 160)"
235,106,12/11/2018,3781455,387290,1,387290,A0203502,A02,3,"[48.75, 9.0]",A0203,"(150, 300)"
236,107,12/11/2018,3781438,450075,1,450075,A0916101,A09,16,"[24, 18.0]",A0916,"(330, 200)"
237,238,12/11/2018,3781435,294281,1,294281,A0401203,A04,1,"[42.25, 6.0]",A0401,"(350, 240)"
238,238,12/11/2018,3781435,376117,1,376117,A0804103,A08,4,"[28.0, 9.0]",A0804,"(160, 340)"
239,238,12/11/2018,3781435,437009,2,437009,A0711204,A07,11,"[32.5, 15.0]",A0711,"(400, 160)"
240,108,12/11/2018,3781435,349865,1,349865,A0719103,A07,19,"[32.5, 21.0]",A0719,"(60, 300)"
