,S/N,DATE,OrderNumber,SKU,PCS,ReferenceID,Location,Alley_Number,Cellule,Coord,AlleyCell,Size
4699,1724,12/12/2018,3793428,454369,1,454369,A0608204,A06,8,"[34.5, 12.0]",A0608,"(360, 120)"
4700,1725,12/12/2018,3793364,447663,1,447663,A1020501,A10,20,"[20.75, 21.0]",A1020,"(100, 140)"
4701,1726,12/12/2018,3793355,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
4702,4703,12/12/2018,3793351,344979,2,344979,A0410201,A04,10,"[41.0, 13.5]",A0410,"(310, 140)"
4703,4704,12/12/2018,3793351,402976,2,402976,A0221502,A02,21,"[48.75, 22.5]",A0221,"(230, 100)"
4704,4704,12/12/2018,3793351,167719,1,167719,A0318506,A03,18,"[44.25, 19.5]",A0318,"(140, 300)"
4705,4704,12/12/2018,3793351,444720,1,444720,A1106502,A11,6,"[15.25, 10.5]",A1106,"(120, 40)"
4706,4707,12/12/2018,3793351,265560,1,265560,A0411104,A04,11,"[42.25, 15.0]",A0411,"(260, 240)"
4707,4708,12/12/2018,3793351,442025,2,442025,A0706401,A07,6,"[31.25, 10.5]",A0706,"(210, 260)"
4708,4708,12/12/2018,3793351,455434,1,455434,A0317503,A03,17,"[45.5, 19.5]",A0317,"(130, 240)"
4709,4707,12/12/2018,3793351,256708,1,256708,A0204203,A02,4,"[47.5, 9.0]",A0204,"(130, 260)"
4710,4707,12/12/2018,3793351,427203,1,427203,A0306304,A03,6,"[44.25, 10.5]",A0306,"(320, 220)"
4711,4712,12/12/2018,3793351,102198,1,102198,A0306403,A03,6,"[44.25, 10.5]",A0306,"(130, 100)"
4712,4712,12/12/2018,3793351,458749,2,458749,A1117204,A11,17,"[19.5, 19.5]",A1117,"(320, 100)"
4713,4714,12/12/2018,3793351,404162,2,404162,A0915401,A09,15,"[26, 18.0]",A0915,"(240, 380)"
4714,4714,12/12/2018,3793351,375960,1,375960,A0909203,A09,9,"[26, 13.5]",A0909,"(380, 100)"
4715,4714,12/12/2018,3793351,363287,2,363287,A0202407,A02,2,"[47.5, 6.0]",A0202,"(240, 260)"
4716,4703,12/12/2018,3793351,269703,1,269703,A1111101,A11,11,"[19.5, 15.0]",A1111,"(410, 40)"
4717,4703,12/12/2018,3793351,264151,2,264151,A0911302,A09,11,"[26, 15.0]",A0911,"(440, 200)"
4718,1727,12/12/2018,3793351,454369,1,454369,A0608204,A06,8,"[34.5, 12.0]",A0608,"(360, 120)"
4719,1728,12/12/2018,3793321,465577,1,465577,A1004103,A10,4,"[20.75, 9.0]",A1004,"(100, 320)"
4720,1729,12/12/2018,3793289,445070,1,445070,A0921501,A09,21,"[26, 22.5]",A0921,"(200, 260)"
4721,1730,12/12/2018,3793290,370815,1,370815,A0910204,A09,10,"[24, 13.5]",A0910,"(260, 180)"
4722,4723,12/12/2018,3793290,349660,2,349660,A0305108,A03,5,"[45.5, 10.5]",A0305,"(440, 300)"
4723,4723,12/12/2018,3793290,403597,2,403597,A0103402,A01,3,"[52.0, 9.0]",A0103,"(230, 220)"
4724,1731,12/12/2018,3793290,370817,1,370817,A0910502,A09,10,"[24, 13.5]",A0910,"(290, 380)"
4725,1732,12/12/2018,3793269,397537,1,397537,A0802504,A08,2,"[28.0, 6.0]",A0802,"(420, 220)"
4726,1733,12/12/2018,3793267,419208,1,419208,A0503301,A05,3,"[39.0, 9.0]",A0503,"(300, 20)"
4727,1734,12/12/2018,3793266,348799,1,348799,A1009503,A10,9,"[22.75, 13.5]",A1009,"(200, 20)"
4728,1735,12/12/2018,3793248,452650,1,452650,A0901304,A09,1,"[26, 6.0]",A0901,"(120, 140)"
4729,1736,12/12/2018,3793238,404163,2,404163,A0902403,A09,2,"[24, 6.0]",A0902,"(140, 20)"
4730,1737,12/12/2018,3793237,408363,1,408363,A0207102,A02,7,"[48.75, 12.0]",A0207,"(50, 280)"
4731,1738,12/12/2018,3793236,453965,1,453965,A1019401,A10,19,"[22.75, 21.0]",A1019,"(80, 60)"
4732,4733,12/12/2018,3793236,434417,1,434417,A0410101,A04,10,"[41.0, 13.5]",A0410,"(350, 340)"
4733,4733,12/12/2018,3793236,406548,2,406548,A0414402,A04,14,"[41.0, 16.5]",A0414,"(60, 100)"
4734,4735,12/12/2018,3793236,403597,2,403597,A0103402,A01,3,"[52.0, 9.0]",A0103,"(230, 220)"
4735,4736,12/12/2018,3793236,269959,2,269959,A0108301,A01,8,"[50.75, 12.0]",A0108,"(70, 320)"
